Year,Tesla Growth %,Gamestop Growth
2009,,24.13307020016915
2010,4.464285714285721,3.0888030888030826
2011,74.35897435897436,4.362194315928614
2012,102.45098039215685,0.8127506860882372
2013,387.40920096852295,-6.95215160716155
2014,58.86736214605066,1.7216158433667195
2015,26.51657285803628,2.831858407079646
2016,73.01038062283737,0.731497418244409
2017,67.9857142857143,-14.940196497223413
2018,82.50701590271281,7.306967984934087
2019,14.524020315921904,-3.0654030654030606
2020,28.309870615998058,-21.955340977670488
