Date,Tesla Close,GameStop Close
2010-06-29 04:00:00,1.5926669836044312,3.083714723587036
2010-06-30 04:00:00,1.5886670351028442,3.162827253341675
2010-07-01 04:00:00,1.4639999866485596,3.209958791732788
2010-07-02 04:00:00,1.2799999713897705,3.075299024581909
2010-07-06 04:00:00,1.0740000009536743,3.097180128097534
2010-07-07 04:00:00,1.053333044052124,3.1560943126678467
2010-07-08 04:00:00,1.1640000343322754,3.172926902770996
2010-07-09 04:00:00,1.159999966621399,3.2032251358032227
2010-07-12 04:00:00,1.136667013168335,3.2520391941070557
2010-07-13 04:00:00,1.2093329429626465,3.2840218544006348
2010-07-14 04:00:00,1.3226670026779175,3.2840218544006348
2010-07-15 04:00:00,1.3259999752044678,3.285705327987671
2010-07-16 04:00:00,1.3760000467300415,3.1897597312927246
2010-07-19 04:00:00,1.4606670141220093,3.265505313873291
2010-07-20 04:00:00,1.3533329963684082,3.3328354358673096
2010-07-21 04:00:00,1.3480000495910645,3.309269905090332
2010-07-22 04:00:00,1.399999976158142,3.364816665649414
2010-07-23 04:00:00,1.4193329811096191,3.450662612915039
2010-07-26 04:00:00,1.3966670036315918,3.5163097381591797
2010-07-27 04:00:00,1.3700000047683716,3.415315866470337
2010-07-28 04:00:00,1.3813329935073853,3.368184804916382
2010-07-29 04:00:00,1.3566670417785645,3.3227360248565674
2010-07-30 04:00:00,1.329332947731018,3.3749165534973145
2010-08-02 04:00:00,1.3946670293807983,3.5533411502838135
2010-08-03 04:00:00,1.463333010673523,3.4775946140289307
2010-08-04 04:00:00,1.4173330068588257,3.578589677810669
2010-08-05 04:00:00,1.363332986831665,3.5567080974578857
2010-08-06 04:00:00,1.305999994277954,3.5297749042510986
2010-08-09 04:00:00,1.3066669702529907,3.528092384338379
2010-08-10 04:00:00,1.2686669826507568,3.4557127952575684
2010-08-11 04:00:00,1.1933330297470093,3.34293532371521
2010-08-12 04:00:00,1.1733330488204956,3.3176863193511963
2010-08-13 04:00:00,1.2213330268859863,3.294121503829956
2010-08-16 04:00:00,1.2519999742507935,3.3378853797912598
2010-08-17 04:00:00,1.2766669988632202,3.3698673248291016
2010-08-18 04:00:00,1.2513329982757568,3.4944276809692383
2010-08-19 04:00:00,1.25266695022583,3.20827579498291
2010-08-20 04:00:00,1.273332953453064,3.1661932468414307
2010-08-23 04:00:00,1.3420000076293945,3.1005475521087646
2010-08-24 04:00:00,1.2799999713897705,3.08708119392395
2010-08-25 04:00:00,1.3266669511795044,3.1005475521087646
2010-08-26 04:00:00,1.3166669607162476,3.08708119392395
2010-08-27 04:00:00,1.3133330345153809,3.085397481918335
2010-08-30 04:00:00,1.324666976928711,3.0079684257507324
2010-08-31 04:00:00,1.2986669540405273,3.018068313598633
2010-09-01 04:00:00,1.363332986831665,3.076981782913208
2010-09-02 04:00:00,1.4040000438690186,3.114013195037842
2010-09-03 04:00:00,1.4033329486846924,3.199859142303467
2010-09-07 04:00:00,1.369333028793335,3.1560943126678467
2010-09-08 04:00:00,1.3933329582214355,3.12579607963562
2010-09-09 04:00:00,1.380666971206665,3.093813419342041
2010-09-10 04:00:00,1.3446669578552246,3.071931838989258
2010-09-13 04:00:00,1.3813329935073853,3.1392619609832764
2010-09-14 04:00:00,1.4079999923706055,3.1325292587280273
2010-09-15 04:00:00,1.4653329849243164,3.129162311553955
2010-09-16 04:00:00,1.3960000276565552,3.265505313873291
2010-09-17 04:00:00,1.348667025566101,3.260456085205078
2010-09-20 04:00:00,1.4040000438690186,3.2924375534057617
2010-09-21 04:00:00,1.3846670389175415,3.2789714336395264
2010-09-22 04:00:00,1.324666976928711,3.2823381423950195
2010-09-23 04:00:00,1.3040000200271606,3.2890710830688477
2010-09-24 04:00:00,1.340000033378601,3.353034019470215
2010-09-27 04:00:00,1.3686670064926147,3.3362014293670654
2010-09-28 04:00:00,1.4266669750213623,3.3463025093078613
2010-09-29 04:00:00,1.4653329849243164,3.3160040378570557
2010-09-30 04:00:00,1.3606669902801514,3.3176863193511963
2010-10-01 04:00:00,1.3733329772949219,3.3665003776550293
2010-10-04 04:00:00,1.3993330001831055,3.3479843139648438
2010-10-05 04:00:00,1.4079999923706055,3.406898021697998
